NO;ULASAN;TANGGAL;LABEL;case_folding;remove_puctuation;tokenize;stemming;stopwords;empty_token
144;steak ayamnya suka, enak, apalagi makan ramai ramai;setahun yang lalu;0;steak ayamnya suka, enak, apalagi makan ramai ramai;steak ayamnya suka  enak  apalagi makan ramai ramai;['steak', 'ayamnya', 'suka', 'enak', 'apalagi', 'makan', 'ramai', 'ramai'];['steak', 'ayam', 'suka', 'enak', 'apalagi', 'makan', 'ramai', 'ramai'];['steak', 'ayam', 'suka', 'enak', '', 'makan', 'ramai', 'ramai'];steak ayam suka enak makan ramai ramai
145;Chicken, sirloin/tenderloin Crispy malah hanya rasa tepung..  Masih mending harga naik daripada kualitas dikurangi..;2 tahun lalu;1;chicken, sirloin/tenderloin crispy malah hanya rasa tepung..  masih mending harga naik daripada kualitas dikurangi..;chicken  sirloin tenderloin crispy malah hanya rasa tepung    masih mending harga naik daripada kualitas dikurangi  ;['chicken', 'sirloin', 'tenderloin', 'crispy', 'malah', 'hanya', 'rasa', 'tepung', 'masih', 'mending', 'harga', 'naik', 'daripada', 'kualitas', 'dikurangi'];['chicken', 'sirloin', 'tenderloin', 'crispy', 'malah', 'hanya', 'rasa', 'tepung', 'masih', 'mending', 'harga', 'naik', 'daripada', 'kualitas', 'rang'];['chicken', 'sirloin', 'tenderloin', 'crispy', 'malah', '', 'rasa', 'tepung', '', 'mending', 'harga', 'naik', '', 'kualitas', 'rang'];chicken sirloin tenderloin crispy malah rasa tepung mending harga naik kualitas rang
146;Tempat enak ada lesehan, harga terjangkau, cuman steak kebanyakan tepungnya. tempat parkir susah Kalau bawa mobil. Onion ring penempatannya acak-acakan.;2 tahun lalu;1;tempat enak ada lesehan, harga terjangkau, cuman steak kebanyakan tepungnya. tempat parkir susah kalau bawa mobil. onion ring penempatannya acak-acakan.;tempat enak ada lesehan  harga terjangkau  cuman steak kebanyakan tepungnya  tempat parkir susah kalau bawa mobil  onion ring penempatannya acak acakan ;['tempat', 'enak', 'ada', 'lesehan', 'harga', 'terjangkau', 'cuman', 'steak', 'kebanyakan', 'tepungnya', 'tempat', 'parkir', 'susah', 'kalau', 'bawa', 'mobil', 'onion', 'ring', 'penempatannya', 'acak', 'acakan'];['tempat', 'enak', 'ada', 'leseh', 'harga', 'jangkau', 'cuman', 'steak', 'banyak', 'tepung', 'tempat', 'parkir', 'susah', 'kalau', 'bawa', 'mobil', 'onion', 'ring', 'tempat', 'acak', 'acak'];['tempat', 'enak', '', 'leseh', 'harga', 'jangkau', 'cuman', 'steak', 'banyak', 'tepung', 'tempat', 'parkir', 'susah', 'kalau', 'bawa', 'mobil', 'onion', 'ring', 'tempat', 'acak', 'acak'];tempat enak leseh harga jangkau cuman steak banyak tepung tempat parkir susah kalau bawa mobil onion ring tempat acak acak
147;Steak crispynya renyah, spaghetti oke;setahun yang lalu;0;steak crispynya renyah, spaghetti oke;steak crispynya renyah  spaghetti oke;['steak', 'crispynya', 'renyah', 'spaghetti', 'oke'];['steak', 'crispynya', 'renyah', 'spaghetti', 'oke'];['steak', 'crispynya', 'renyah', 'spaghetti', 'oke'];steak crispynya renyah spaghetti oke
148;Enak steaknya,, tetapi aku kasih 2 dahulu, kalau tempatnya sudah enak banget nanti bintangnya aku tambah;2 tahun lalu;0;enak steaknya,, tetapi aku kasih 2 dahulu, kalau tempatnya sudah enak banget nanti bintangnya aku tambah;enak steaknya   tetapi aku kasih  dahulu  kalau tempatnya sudah enak banget nanti bintangnya aku tambah;['enak', 'steaknya', 'tetapi', 'aku', 'kasih', 'dahulu', 'kalau', 'tempatnya', 'sudah', 'enak', 'banget', 'nanti', 'bintangnya', 'aku', 'tambah'];['enak', 'steaknya', 'tetapi', 'aku', 'kasih', 'dahulu', 'kalau', 'tempat', 'sudah', 'enak', 'banget', 'nanti', 'bintang', 'aku', 'tambah'];['enak', 'steaknya', '', 'aku', 'kasih', '', 'kalau', 'tempat', '', 'enak', 'banget', '', 'bintang', 'aku', 'tambah'];enak steaknya aku kasih kalau tempat enak banget bintang aku tambah
149;Murah dan enak;setahun yang lalu;0;murah dan enak;murah dan enak;['murah', 'dan', 'enak'];['murah', 'dan', 'enak'];['murah', '', 'enak'];murah enak
150;Tempat yang barunya nyaman....rasanya tetap nikmat....pelayanannya ramah dan menu yang variatif harga pun terjangkau;2 tahun lalu;0;tempat yang barunya nyaman....rasanya tetap nikmat....pelayanannya ramah dan menu yang variatif harga pun terjangkau;tempat yang barunya nyaman    rasanya tetap nikmat    pelayanannya ramah dan menu yang variatif harga pun terjangkau;['tempat', 'yang', 'barunya', 'nyaman', 'rasanya', 'tetap', 'nikmat', 'pelayanannya', 'ramah', 'dan', 'menu', 'yang', 'variatif', 'harga', 'pun', 'terjangkau'];['tempat', 'yang', 'baru', 'nyaman', 'rasa', 'tetap', 'nikmat', 'layan', 'ramah', 'dan', 'menu', 'yang', 'variatif', 'harga', 'pun', 'jangkau'];['tempat', '', 'baru', 'nyaman', 'rasa', 'tetap', 'nikmat', 'layan', 'ramah', '', 'menu', '', 'variatif', 'harga', '', 'jangkau'];tempat baru nyaman rasa tetap nikmat layan ramah menu variatif harga jangkau
151;Lumayan enak steaknya;7 bulan lalu;0;lumayan enak steaknya;lumayan enak steaknya;['lumayan', 'enak', 'steaknya'];['lumayan', 'enak', 'steaknya'];['lumayan', 'enak', 'steaknya'];lumayan enak steaknya
152;Tempatnya nyaman,,makanannya cukup enak;8 bulan lalu;0;tempatnya nyaman,,makanannya cukup enak;tempatnya nyaman  makanannya cukup enak;['tempatnya', 'nyaman', 'makanannya', 'cukup', 'enak'];['tempat', 'nyaman', 'makan', 'cukup', 'enak'];['tempat', 'nyaman', 'makan', 'cukup', 'enak'];tempat nyaman makan cukup enak
153;Sunny steak chicken mantap;setahun yang lalu;0;sunny steak chicken mantap;sunny steak chicken mantap;['sunny', 'steak', 'chicken', 'mantap'];['sunny', 'steak', 'chicken', 'mantap'];['sunny', 'steak', 'chicken', 'mantap'];sunny steak chicken mantap
154;Steaknya mantap;setahun yang lalu;0;steaknya mantap;steaknya mantap;['steaknya', 'mantap'];['steaknya', 'mantap'];['steaknya', 'mantap'];steaknya mantap
155;Harga steaknya banyak yang naik, dan dagingnya semakin tipis . sedikit menyesal waktu kemarin kemarin makan di situ;2 tahun lalu;1;harga steaknya banyak yang naik, dan dagingnya semakin tipis . sedikit menyesal waktu kemarin kemarin makan di situ;harga steaknya banyak yang naik  dan dagingnya semakin tipis   sedikit menyesal waktu kemarin kemarin makan di situ;['harga', 'steaknya', 'banyak', 'yang', 'naik', 'dan', 'dagingnya', 'semakin', 'tipis', 'sedikit', 'menyesal', 'waktu', 'kemarin', 'kemarin', 'makan', 'di', 'situ'];['harga', 'steaknya', 'banyak', 'yang', 'naik', 'dan', 'daging', 'makin', 'tipis', 'sedikit', 'sesal', 'waktu', 'kemarin', 'kemarin', 'makan', 'di', 'situ'];['harga', 'steaknya', 'banyak', '', 'naik', '', 'daging', 'makin', 'tipis', 'sedikit', 'sesal', 'waktu', 'kemarin', 'kemarin', 'makan', '', 'situ'];harga steaknya banyak naik daging makin tipis sedikit sesal waktu kemarin kemarin makan situ
156;Makanannya biasa biasa saja...yang pasti murah. Pas buat kantong tanggung bulan. Tetapi saya tidak merekomendasi;2 tahun lalu;1;makanannya biasa biasa saja...yang pasti murah. pas buat kantong tanggung bulan. tetapi saya tidak merekomendasi;makanannya biasa biasa saja   yang pasti murah  pas buat kantong tanggung bulan  tetapi saya tidak merekomendasi;['makanannya', 'biasa', 'biasa', 'saja', 'yang', 'pasti', 'murah', 'pas', 'buat', 'kantong', 'tanggung', 'bulan', 'tetapi', 'saya', 'tidak', 'merekomendasi'];['makan', 'biasa', 'biasa', 'saja', 'yang', 'pasti', 'murah', 'pas', 'buat', 'kantong', 'tanggung', 'bulan', 'tetapi', 'saya', 'tidak', 'rekomendasi'];['makan', 'biasa', 'biasa', '', '', '', 'murah', 'pas', 'buat', 'kantong', 'tanggung', 'bulan', '', '', 'tidak', 'rekomendasi'];makan biasa biasa murah pas buat kantong tanggung bulan tidak rekomendasi
157;Murah, enak;setahun yang lalu;0;murah, enak;murah  enak;['murah', 'enak'];['murah', 'enak'];['murah', 'enak'];murah enak
158;Warung steak paling terkenal di cirebon. Letak yang strategis di belakang masjid at-taqwa, rasanya enak, harganya juga ramah kantong;2 tahun lalu;0;warung steak paling terkenal di cirebon. letak yang strategis di belakang masjid at-taqwa, rasanya enak, harganya juga ramah kantong;warung steak paling terkenal di cirebon  letak yang strategis di belakang masjid at taqwa  rasanya enak  harganya juga ramah kantong;['warung', 'steak', 'paling', 'terkenal', 'di', 'cirebon', 'letak', 'yang', 'strategis', 'di', 'belakang', 'masjid', 'at', 'taqwa', 'rasanya', 'enak', 'harganya', 'juga', 'ramah', 'kantong'];['warung', 'steak', 'paling', 'kenal', 'di', 'cirebon', 'letak', 'yang', 'strategis', 'di', 'belakang', 'masjid', 'at', 'taqwa', 'rasa', 'enak', 'harga', 'juga', 'ramah', 'kantong'];['warung', 'steak', 'paling', 'kenal', '', 'cirebon', 'letak', '', 'strategis', '', 'belakang', 'masjid', 'at', 'taqwa', 'rasa', 'enak', 'harga', '', 'ramah', 'kantong'];warung steak paling kenal cirebon letak strategis belakang masjid at taqwa rasa enak harga ramah kantong
159;Tempatnya nyaman, terutama untuk berkumpul dengan teman dan sanak saudara. Selain itu makanan yang disediakan cukup bervariasi dan enak dengan harga yang cukup terjangkau. Tempat rekomendasi di Cirebon.;2 tahun lalu;0;tempatnya nyaman, terutama untuk berkumpul dengan teman dan sanak saudara. selain itu makanan yang disediakan cukup bervariasi dan enak dengan harga yang cukup terjangkau. tempat rekomendasi di cirebon.;tempatnya nyaman  terutama untuk berkumpul dengan teman dan sanak saudara  selain itu makanan yang disediakan cukup bervariasi dan enak dengan harga yang cukup terjangkau  tempat rekomendasi di cirebon ;['tempatnya', 'nyaman', 'terutama', 'untuk', 'berkumpul', 'dengan', 'teman', 'dan', 'sanak', 'saudara', 'selain', 'itu', 'makanan', 'yang', 'disediakan', 'cukup', 'bervariasi', 'dan', 'enak', 'dengan', 'harga', 'yang', 'cukup', 'terjangkau', 'tempat', 'rekomendasi', 'di', 'cirebon'];['tempat', 'nyaman', 'utama', 'untuk', 'kumpul', 'dengan', 'teman', 'dan', 'sanak', 'saudara', 'selain', 'itu', 'makan', 'yang', 'sedia', 'cukup', 'variasi', 'dan', 'enak', 'dengan', 'harga', 'yang', 'cukup', 'jangkau', 'tempat', 'rekomendasi', 'di', 'cirebon'];['tempat', 'nyaman', 'utama', '', 'kumpul', '', 'teman', '', 'sanak', 'saudara', '', '', 'makan', '', 'sedia', 'cukup', 'variasi', '', 'enak', '', 'harga', '', 'cukup', 'jangkau', 'tempat', 'rekomendasi', '', 'cirebon'];tempat nyaman utama kumpul teman sanak saudara makan sedia cukup variasi enak harga cukup jangkau tempat rekomendasi cirebon
160;Oke buat cirebon... lihat saja yang makan sampai berkeringat.. sausnya banyak. Rasa tidak buruk. Steak burgernya oke . Cuman kalau dibandingkan steak and shake jakarta masih kalah... ;3 tahun lalu;0;oke buat cirebon... lihat saja yang makan sampai berkeringat.. sausnya banyak. rasa tidak buruk. steak burgernya oke . cuman kalau dibandingkan steak and shake jakarta masih kalah... ;oke buat cirebon    lihat saja yang makan sampai berkeringat   sausnya banyak  rasa tidak buruk  steak burgernya oke   cuman kalau dibandingkan steak and shake jakarta masih kalah    ;['oke', 'buat', 'cirebon', 'lihat', 'saja', 'yang', 'makan', 'sampai', 'berkeringat', 'sausnya', 'banyak', 'rasa', 'tidak', 'buruk', 'steak', 'burgernya', 'oke', 'cuman', 'kalau', 'dibandingkan', 'steak', 'and', 'shake', 'jakarta', 'masih', 'kalah'];['oke', 'buat', 'cirebon', 'lihat', 'saja', 'yang', 'makan', 'sampai', 'keringat', 'saus', 'banyak', 'rasa', 'tidak', 'buruk', 'steak', 'burgernya', 'oke', 'cuman', 'kalau', 'banding', 'steak', 'and', 'shake', 'jakarta', 'masih', 'kalah'];['oke', 'buat', 'cirebon', 'lihat', '', '', 'makan', '', 'keringat', 'saus', 'banyak', 'rasa', 'tidak', 'buruk', 'steak', 'burgernya', 'oke', 'cuman', 'kalau', 'banding', 'steak', 'and', 'shake', 'jakarta', '', 'kalah'];oke buat cirebon lihat makan keringat saus banyak rasa tidak buruk steak burgernya oke cuman kalau banding steak and shake jakarta kalah
161;Masakannya enak;setahun yang lalu;0;masakannya enak;masakannya enak;['masakannya', 'enak'];['masakan', 'enak'];['masakan', 'enak'];masakan enak
162;Steaknya enak sesuai bujet. Jangan berharap lebih dengan harga yang murah. Disini setimpal banget buat makan steak dengan bujet terbatas. Tempat enak, nyaman, pelayanan memuaskan.;2 tahun lalu;0;steaknya enak sesuai bujet. jangan berharap lebih dengan harga yang murah. disini setimpal banget buat makan steak dengan bujet terbatas. tempat enak, nyaman, pelayanan memuaskan.;steaknya enak sesuai bujet  jangan berharap lebih dengan harga yang murah  disini setimpal banget buat makan steak dengan bujet terbatas  tempat enak  nyaman  pelayanan memuaskan ;['steaknya', 'enak', 'sesuai', 'bujet', 'jangan', 'berharap', 'lebih', 'dengan', 'harga', 'yang', 'murah', 'disini', 'setimpal', 'banget', 'buat', 'makan', 'steak', 'dengan', 'bujet', 'terbatas', 'tempat', 'enak', 'nyaman', 'pelayanan', 'memuaskan'];['steaknya', 'enak', 'sesuai', 'bujet', 'jangan', 'harap', 'lebih', 'dengan', 'harga', 'yang', 'murah', 'sini', 'timpal', 'banget', 'buat', 'makan', 'steak', 'dengan', 'bujet', 'batas', 'tempat', 'enak', 'nyaman', 'layan', 'muas'];['steaknya', 'enak', 'sesuai', 'bujet', 'jangan', 'harap', 'lebih', '', 'harga', '', 'murah', 'sini', 'timpal', 'banget', 'buat', 'makan', 'steak', '', 'bujet', 'batas', 'tempat', 'enak', 'nyaman', 'layan', 'muas'];steaknya enak sesuai bujet jangan harap lebih harga murah sini timpal banget buat makan steak bujet batas tempat enak nyaman layan muas
163;Tempat yang enak buat curahan hati. Makanannya juga oke banget di kantong harganya;setahun yang lalu;0;tempat yang enak buat curahan hati. makanannya juga oke banget di kantong harganya;tempat yang enak buat curahan hati  makanannya juga oke banget di kantong harganya;['tempat', 'yang', 'enak', 'buat', 'curahan', 'hati', 'makanannya', 'juga', 'oke', 'banget', 'di', 'kantong', 'harganya'];['tempat', 'yang', 'enak', 'buat', 'curah', 'hati', 'makan', 'juga', 'oke', 'banget', 'di', 'kantong', 'harga'];['tempat', '', 'enak', 'buat', 'curah', 'hati', 'makan', '', 'oke', 'banget', '', 'kantong', 'harga'];tempat enak buat curah hati makan oke banget kantong harga
164;Enak dan nyaman;setahun yang lalu;0;enak dan nyaman;enak dan nyaman;['enak', 'dan', 'nyaman'];['enak', 'dan', 'nyaman'];['enak', '', 'nyaman'];enak nyaman
165;Dagingnya pahit karena gosong, 3 kali makan tenderloin original selalu gosong, tolong ditingkatin lagi;2 tahun lalu;1;dagingnya pahit karena gosong, 3 kali makan tenderloin original selalu gosong, tolong ditingkatin lagi;dagingnya pahit karena gosong   kali makan tenderloin original selalu gosong  tolong ditingkatin lagi;['dagingnya', 'pahit', 'karena', 'gosong', 'kali', 'makan', 'tenderloin', 'original', 'selalu', 'gosong', 'tolong', 'ditingkatin', 'lagi'];['daging', 'pahit', 'karena', 'gosong', 'kali', 'makan', 'tenderloin', 'original', 'selalu', 'gosong', 'tolong', 'ditingkatin', 'lagi'];['daging', 'pahit', '', 'gosong', 'kali', 'makan', 'tenderloin', 'original', 'selalu', 'gosong', '', 'ditingkatin', ''];daging pahit gosong kali makan tenderloin original selalu gosong ditingkatin
166;Nyaman makanan yang enak;11 bulan lalu;0;nyaman makanan yang enak;nyaman makanan yang enak;['nyaman', 'makanan', 'yang', 'enak'];['nyaman', 'makan', 'yang', 'enak'];['nyaman', 'makan', '', 'enak'];nyaman makan enak
167;Nikmat steak harga murah;10 bulan lalu;0;nikmat steak harga murah;nikmat steak harga murah;['nikmat', 'steak', 'harga', 'murah'];['nikmat', 'steak', 'harga', 'murah'];['nikmat', 'steak', 'harga', 'murah'];nikmat steak harga murah
168;Enak makanannya;setahun yang lalu;0;enak makanannya;enak makanannya;['enak', 'makanannya'];['enak', 'makan'];['enak', 'makan'];enak makan
169;Favorit keluarga besarku. Lezat;10 bulan lalu;0;favorit keluarga besarku. lezat;favorit keluarga besarku  lezat;['favorit', 'keluarga', 'besarku', 'lezat'];['favorit', 'keluarga', 'besar', 'lezat'];['favorit', 'keluarga', 'besar', 'lezat'];favorit keluarga besar lezat
170;Tempatnya nyaman, pilihan menunya banyak;setahun yang lalu;0;tempatnya nyaman, pilihan menunya banyak;tempatnya nyaman  pilihan menunya banyak;['tempatnya', 'nyaman', 'pilihan', 'menunya', 'banyak'];['tempat', 'nyaman', 'pilih', 'menu', 'banyak'];['tempat', 'nyaman', 'pilih', 'menu', 'banyak'];tempat nyaman pilih menu banyak
171;Makanan yang disajikan lezat, cocok di lidah. Tempat strategis dekat dengan stasiun kereta api Cirebon. Suasana nyaman dan romantis juga rapih. Terdapat parkiran yang cukup luas.;2 tahun lalu;0;makanan yang disajikan lezat, cocok di lidah. tempat strategis dekat dengan stasiun kereta api cirebon. suasana nyaman dan romantis juga rapih. terdapat parkiran yang cukup luas.;makanan yang disajikan lezat  cocok di lidah  tempat strategis dekat dengan stasiun kereta api cirebon  suasana nyaman dan romantis juga rapih  terdapat parkiran yang cukup luas ;['makanan', 'yang', 'disajikan', 'lezat', 'cocok', 'di', 'lidah', 'tempat', 'strategis', 'dekat', 'dengan', 'stasiun', 'kereta', 'api', 'cirebon', 'suasana', 'nyaman', 'dan', 'romantis', 'juga', 'rapih', 'terdapat', 'parkiran', 'yang', 'cukup', 'luas'];['makan', 'yang', 'saji', 'lezat', 'cocok', 'di', 'lidah', 'tempat', 'strategis', 'dekat', 'dengan', 'stasiun', 'kereta', 'api', 'cirebon', 'suasana', 'nyaman', 'dan', 'romantis', 'juga', 'rapih', 'dapat', 'parkir', 'yang', 'cukup', 'luas'];['makan', '', 'saji', 'lezat', 'cocok', '', 'lidah', 'tempat', 'strategis', 'dekat', '', 'stasiun', 'kereta', 'api', 'cirebon', 'suasana', 'nyaman', '', 'romantis', '', 'rapih', '', 'parkir', '', 'cukup', 'luas'];makan saji lezat cocok lidah tempat strategis dekat stasiun kereta api cirebon suasana nyaman romantis rapih parkir cukup luas
172;Rasanya enak dah harga bersahabat, banyak kenangan di tempat ini sama mantan pacar;2 tahun lalu;0;rasanya enak dah harga bersahabat, banyak kenangan di tempat ini sama mantan pacar;rasanya enak dah harga bersahabat  banyak kenangan di tempat ini sama mantan pacar;['rasanya', 'enak', 'dah', 'harga', 'bersahabat', 'banyak', 'kenangan', 'di', 'tempat', 'ini', 'sama', 'mantan', 'pacar'];['rasa', 'enak', 'dah', 'harga', 'sahabat', 'banyak', 'kenang', 'di', 'tempat', 'ini', 'sama', 'mantan', 'pacar'];['rasa', 'enak', 'dah', 'harga', 'sahabat', 'banyak', 'kenang', '', 'tempat', '', 'sama', 'mantan', 'pacar'];rasa enak dah harga sahabat banyak kenang tempat sama mantan pacar
173;entah apa yang bikin tempat ini ramai, steaknya biasa saja, malah dapat gosong, pelayannya suka salah kasih pesanan, pesanan meja X dikasih ke meja Y, pesanan tidak komplet, (jangan lupa cek tagihan sebelum bayar) sendok garpu tidak bersih, masih ada sisa sisa kotoran (saking ramainya mungkin, jadi pelayanan dan kualitas dilupakan) ;3 tahun lalu;1;entah apa yang bikin tempat ini ramai, steaknya biasa saja, malah dapat gosong, pelayannya suka salah kasih pesanan, pesanan meja x dikasih ke meja y, pesanan tidak komplet, (jangan lupa cek tagihan sebelum bayar) sendok garpu tidak bersih, masih ada sisa sisa kotoran (saking ramainya mungkin, jadi pelayanan dan kualitas dilupakan) ;entah apa yang bikin tempat ini ramai  steaknya biasa saja  malah dapat gosong  pelayannya suka salah kasih pesanan  pesanan meja x dikasih ke meja y  pesanan tidak komplet   jangan lupa cek tagihan sebelum bayar  sendok garpu tidak bersih  masih ada sisa sisa kotoran  saking ramainya mungkin  jadi pelayanan dan kualitas dilupakan  ;['entah', 'apa', 'yang', 'bikin', 'tempat', 'ini', 'ramai', 'steaknya', 'biasa', 'saja', 'malah', 'dapat', 'gosong', 'pelayannya', 'suka', 'salah', 'kasih', 'pesanan', 'pesanan', 'meja', 'x', 'dikasih', 'ke', 'meja', 'y', 'pesanan', 'tidak', 'komplet', 'jangan', 'lupa', 'cek', 'tagihan', 'sebelum', 'bayar', 'sendok', 'garpu', 'tidak', 'bersih', 'masih', 'ada', 'sisa', 'sisa', 'kotoran', 'saking', 'ramainya', 'mungkin', 'jadi', 'pelayanan', 'dan', 'kualitas', 'dilupakan'];['entah', 'apa', 'yang', 'bikin', 'tempat', 'ini', 'ramai', 'steaknya', 'biasa', 'saja', 'malah', 'dapat', 'gosong', 'layan', 'suka', 'salah', 'kasih', 'pesan', 'pesan', 'meja', 'x', 'kasih', 'ke', 'meja', 'y', 'pesan', 'tidak', 'komplet', 'jangan', 'lupa', 'cek', 'tagih', 'belum', 'bayar', 'sendok', 'garpu', 'tidak', 'bersih', 'masih', 'ada', 'sisa', 'sisa', 'kotor', 'saking', 'ramai', 'mungkin', 'jadi', 'layan', 'dan', 'kualitas', 'lupa'];['entah', 'apa', '', 'bikin', 'tempat', '', 'ramai', 'steaknya', 'biasa', '', 'malah', '', 'gosong', 'layan', 'suka', 'salah', 'kasih', 'pesan', 'pesan', 'meja', 'x', 'kasih', '', 'meja', 'y', 'pesan', 'tidak', 'komplet', 'jangan', 'lupa', 'cek', 'tagih', '', 'bayar', 'sendok', 'garpu', 'tidak', 'bersih', '', '', 'sisa', 'sisa', 'kotor', 'saking', 'ramai', 'mungkin', 'jadi', 'layan', '', 'kualitas', 'lupa'];entah apa bikin tempat ramai steaknya biasa malah gosong layan suka salah kasih pesan pesan meja x kasih meja y pesan tidak komplet jangan lupa cek tagih bayar sendok garpu tidak bersih sisa sisa kotor saking ramai mungkin jadi layan kualitas lupa
174;Enak, tempatnya luas, ada wifinya;11 bulan lalu;0;enak, tempatnya luas, ada wifinya;enak  tempatnya luas  ada wifinya;['enak', 'tempatnya', 'luas', 'ada', 'wifinya'];['enak', 'tempat', 'luas', 'ada', 'wifinya'];['enak', 'tempat', 'luas', '', 'wifinya'];enak tempat luas wifinya
175;Steaknya enak, murah lagi;9 bulan lalu;0;steaknya enak, murah lagi;steaknya enak  murah lagi;['steaknya', 'enak', 'murah', 'lagi'];['steaknya', 'enak', 'murah', 'lagi'];['steaknya', 'enak', 'murah', ''];steaknya enak murah
176;Ramai, lumayan lama, tetapi murah untuk harga steak, untuk rasa yang crispy steaknya parah tepungnya keras mending iga bakar atau steak originalnya saja, yang crispy tidak rekomendasi;2 tahun lalu;1;ramai, lumayan lama, tetapi murah untuk harga steak, untuk rasa yang crispy steaknya parah tepungnya keras mending iga bakar atau steak originalnya saja, yang crispy tidak rekomendasi;ramai  lumayan lama  tetapi murah untuk harga steak  untuk rasa yang crispy steaknya parah tepungnya keras mending iga bakar atau steak originalnya saja  yang crispy tidak rekomendasi;['ramai', 'lumayan', 'lama', 'tetapi', 'murah', 'untuk', 'harga', 'steak', 'untuk', 'rasa', 'yang', 'crispy', 'steaknya', 'parah', 'tepungnya', 'keras', 'mending', 'iga', 'bakar', 'atau', 'steak', 'originalnya', 'saja', 'yang', 'crispy', 'tidak', 'rekomendasi'];['ramai', 'lumayan', 'lama', 'tetapi', 'murah', 'untuk', 'harga', 'steak', 'untuk', 'rasa', 'yang', 'crispy', 'steaknya', 'parah', 'tepung', 'keras', 'mending', 'iga', 'bakar', 'atau', 'steak', 'originalnya', 'saja', 'yang', 'crispy', 'tidak', 'rekomendasi'];['ramai', 'lumayan', 'lama', '', 'murah', '', 'harga', 'steak', '', 'rasa', '', 'crispy', 'steaknya', 'parah', 'tepung', 'keras', 'mending', 'iga', 'bakar', '', 'steak', 'originalnya', '', '', 'crispy', 'tidak', 'rekomendasi'];ramai lumayan lama murah harga steak rasa crispy steaknya parah tepung keras mending iga bakar steak originalnya crispy tidak rekomendasi
177;Harga terjangkau rasa steak enak;setahun yang lalu;0;harga terjangkau rasa steak enak;harga terjangkau rasa steak enak;['harga', 'terjangkau', 'rasa', 'steak', 'enak'];['harga', 'jangkau', 'rasa', 'steak', 'enak'];['harga', 'jangkau', 'rasa', 'steak', 'enak'];harga jangkau rasa steak enak
178;Tempatnya nyaman.. walaupun kadang-kadang kebersihannya sedikit kurang.. karena mungkin mengelap mejanya belum bersih.. Tetapi dari segi rasa lumayan rasanya enak dan harganya masih terjangkau untuk harga steak.. ;3 tahun lalu;0;tempatnya nyaman.. walaupun kadang-kadang kebersihannya sedikit kurang.. karena mungkin mengelap mejanya belum bersih.. tetapi dari segi rasa lumayan rasanya enak dan harganya masih terjangkau untuk harga steak.. ;tempatnya nyaman   walaupun kadang kadang kebersihannya sedikit kurang   karena mungkin mengelap mejanya belum bersih   tetapi dari segi rasa lumayan rasanya enak dan harganya masih terjangkau untuk harga steak   ;['tempatnya', 'nyaman', 'walaupun', 'kadang', 'kadang', 'kebersihannya', 'sedikit', 'kurang', 'karena', 'mungkin', 'mengelap', 'mejanya', 'belum', 'bersih', 'tetapi', 'dari', 'segi', 'rasa', 'lumayan', 'rasanya', 'enak', 'dan', 'harganya', 'masih', 'terjangkau', 'untuk', 'harga', 'steak'];['tempat', 'nyaman', 'walaupun', 'kadang', 'kadang', 'bersih', 'sedikit', 'kurang', 'karena', 'mungkin', 'kelap', 'meja', 'belum', 'bersih', 'tetapi', 'dari', 'segi', 'rasa', 'lumayan', 'rasa', 'enak', 'dan', 'harga', 'masih', 'jangkau', 'untuk', 'harga', 'steak'];['tempat', 'nyaman', 'walaupun', 'kadang', 'kadang', 'bersih', 'sedikit', 'kurang', '', 'mungkin', 'kelap', 'meja', '', 'bersih', '', '', 'segi', 'rasa', 'lumayan', 'rasa', 'enak', '', 'harga', '', 'jangkau', '', 'harga', 'steak'];tempat nyaman walaupun kadang kadang bersih sedikit kurang mungkin kelap meja bersih segi rasa lumayan rasa enak harga jangkau harga steak
179;Enak steaknya,cuman bagi saya yang doyan asin itu kurang asin;setahun yang lalu;0;enak steaknya,cuman bagi saya yang doyan asin itu kurang asin;enak steaknya cuman bagi saya yang doyan asin itu kurang asin;['enak', 'steaknya', 'cuman', 'bagi', 'saya', 'yang', 'doyan', 'asin', 'itu', 'kurang', 'asin'];['enak', 'steaknya', 'cuman', 'bagi', 'saya', 'yang', 'doyan', 'asin', 'itu', 'kurang', 'asin'];['enak', 'steaknya', 'cuman', '', '', '', 'doyan', 'asin', '', 'kurang', 'asin'];enak steaknya cuman doyan asin kurang asin
180;Enak dan terjangkau.. Cukup teduh tempatnya;setahun yang lalu;0;enak dan terjangkau.. cukup teduh tempatnya;enak dan terjangkau   cukup teduh tempatnya;['enak', 'dan', 'terjangkau', 'cukup', 'teduh', 'tempatnya'];['enak', 'dan', 'jangkau', 'cukup', 'teduh', 'tempat'];['enak', '', 'jangkau', 'cukup', 'teduh', 'tempat'];enak jangkau cukup teduh tempat
